s,a,r,sp
4,1,0,4
4,5,50,7
7,5,500,8
8,4,0,4
4,6,0,4
4,6,0,4
4,4,500,8
8,6,500,8
8,7,5000,9
1,1,5000,3
3,1,50,4
4,7,0,4
4,7,50,4
4,8,0,4
4,3,0,4
4,5,0,4
4,1,50,4
4,6,5000,6
6,8,500,8
8,4,0,4
4,2,50,4
4,1,50,4
4,6,500,8
8,7,500,8
8,3,500,8
8,3,500,8
8,1,50,7
7,1,5000,9
9,4,50,7
8,7,500,8
8,6,50,7
7,4,500,8
8,5,0,4
4,5,0,4
4,8,0,4
4,3,500,8
8,1,500,8
8,3,500,8
8,5,500,8
8,3,50,7
7,7,500,8
8,7,50,7
7,3,50,7
